TSLA
Date,Open,High,Low,Prices,Adj Close,Volume
2010-06-29,19.0,25.0,17.540000915527300,23.889999389648400,23.889999389648400,18766300
2010-06-30,25.790000915527300,30.420000076293900,23.299999237060500,23.829999923706100,23.829999923706100,17187100
2010-07-01,25.0,25.920000076293900,20.270000457763700,21.959999084472700,21.959999084472700,8218800
2010-07-02,23.0,23.100000381469700,18.709999084472700,19.200000762939500,19.200000762939500,5139800
2010-07-06,20.0,20.0,15.829999923706100,16.110000610351600,16.110000610351600,6866900
2010-07-07,16.399999618530300,16.6299991607666,14.979999542236300,15.800000190734900,15.800000190734900,6921700
2010-07-08,16.139999389648400,17.520000457763700,15.569999694824200,17.459999084472700,17.459999084472700,7711400
2010-07-09,17.579999923706100,17.899999618530300,16.549999237060500,17.399999618530300,17.399999618530300,4050600
2010-07-12,17.950000762939500,18.06999969482420,17.0,17.049999237060500,17.049999237060500,2202500
2010-07-13,17.389999389648400,18.639999389648400,16.899999618530300,18.139999389648400,18.139999389648400,2680100
2010-07-14,17.940000534057600,20.149999618530300,17.760000228881800,19.84000015258790,19.84000015258790,4195200
2010-07-15,19.940000534057600,21.5,19.0,19.889999389648400,19.889999389648400,3739800
2010-07-16,20.700000762939500,21.299999237060500,20.049999237060500,20.639999389648400,20.639999389648400,2621300
2010-07-19,21.3700008392334,22.25,20.920000076293900,21.90999984741210,21.90999984741210,2486500
2010-07-20,21.850000381469700,21.850000381469700,20.049999237060500,20.299999237060500,20.299999237060500,1825300
2010-07-21,20.65999984741210,20.899999618530300,19.5,20.219999313354500,20.219999313354500,1252500
2010-07-22,20.5,21.25,20.3700008392334,21.0,21.0,957800
2010-07-23,21.190000534057600,21.559999465942400,21.059999465942400,21.290000915527300,21.290000915527300,653600
2010-07-26,21.5,21.5,20.299999237060500,20.950000762939500,20.950000762939500,922200
2010-07-27,20.90999984741210,21.18000030517580,20.260000228881800,20.549999237060500,20.549999237060500,619700
2010-07-28,20.549999237060500,20.899999618530300,20.510000228881800,20.719999313354500,20.719999313354500,467200
2010-07-29,20.770000457763700,20.8799991607666,20.0,20.350000381469700,20.350000381469700,616000
